"Data Import Template"
"Table:","Workflow"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Workflow","","","","","","","~","Workflow Document State","states","","","","","","","","~","Workflow Transition","transitions","","","","",""
"Column Labels:","ID","Workflow Name","Document Type","Workflow State Field","Is Active","Don't Override Status","Send Email Alert","","ID","State","Only Allow Edit For","Doc Status","Update Field","Update Value","Is Optional State","Next Action Email Template","Message","","ID","State","Action","Next State","Allowed","Allow Self Approval","Condition"
"Column Name:","name","workflow_name","document_type","workflow_state_field","is_active","override_status","send_email_alert","~","name","state","allow_edit","doc_status","update_field","update_value","is_optional_state","next_action_email_template","message","~","name","state","action","next_state","allowed","allow_self_approval","condition"
"Mandatory:","Yes","Yes","Yes","Yes","No","No","No","","Yes","Yes","Yes","No","No","No","No","No","No","","Yes","Yes","Yes","Yes","Yes","No","No"
"Type:","Data","Data","Link","Data","Check","Check","Check","","Data","Link","Link","Select","Select","Data","Check","Link","Text","","Data","Link","Link","Link","Link","Check","Code"
"Info:","","","Valid DocType","","0 or 1","0 or 1","0 or 1","","","Valid Workflow State","Valid Role","One of: 0, 1, 2","","","0 or 1","Valid Email Template","","","","Valid Workflow State","Valid Workflow Action Master","Valid Workflow State","Valid Role","0 or 1",""
"Start entering data below this line"
"","","","","","","","","","","","","","","","","","","","""56ecc5699c""","Pending Procedure","Proceed to Radiology","Pending Radiology","GCH-TriageNurse",1,"doc.mode_of_payment == ""Insurance"""
"","","","","","","","","","","","","","","","","","","","""f296896d10""","Pending Procedure","Proceed to Reception","Pending Reception","GCH-Dental",1,""
"","","","","","","","","","","","","","","","","","","","""683e887fe6""","Pending Procedure","Close Encounter","Encounter Closed","GCH-TriageNurse",1,"doc.mode_of_payment != ""Insurance"""
"","","","","","","","","","","","","","","","","","","","""d99013ae5d""","Pending Procedure","Proceed to Reception (Invoice Closing)","Pending Invoice Closing","GCH-TriageNurse",1,"doc.mode_of_payment != ""Cash"""
"","","","","","","","","","","","","","","","","","","","""07b3438526""","Pending Procedure","Proceed to Pharmacy","Pending Pharmacy","GCH-Dental",0,""
"","","","","","","","","","","","","","","","","","","","""1f89337a18""","Pending Reception","Proceed to Vaccination","Pending Vaccination","GCH-Reception",1,""
"","","","","","","","","","","","","","","","","","","","""108e519b9d""","Pending Vaccination","Proceed to Doctor","Pending Doctor","GCH-Wellbaby Nurse",1,""
"","","","","","","","","","","","","","","","","","","","""0c1b374315""","Pending Vaccination","Pull to Reception","Pending Reception","GCH-Reception",1,""
"","","","","","","","","","","","","","","","","","","","""8f14503942""","Pending Vaccination","Proceed to Reception","Pending Reception","GCH-Wellbaby Nurse",1,""
"","","","","","","","","","","","","","","","","","","","""0562b0d9f0""","Pending Vaccination","Close Encounter","Encounter Closed","GCH-Wellbaby Nurse",1,"doc.mode_of_payment != ""Insurance"""
"","","","","","","","","","","","","","","","","","","","""6a8877b2c6""","Pending Vaccination","Proceed to Reception (Invoice Closing)","Pending Invoice Closing","GCH-Wellbaby Nurse",1,"doc.mode_of_payment != ""Cash"""
"","","","","","","","","","","","","","","","","","","","""b22a3c25d5""","Pending Pharmacy","Proceed to Payment","Pending Prescription Payment","GCH-Pharmacy",1,"doc.mode_of_payment == ""Cash"""
"","","","","","","","","","","","","","","","","","","","""304e4a4dd0""","Pending Pharmacy","Proceed to Doctor","Pending Doctor","GCH-Pharmacy",1,""
"","","","","","","","","","","","","","","","","","","","""09643313fd""","Pending Pharmacy","Proceed to Reception (Invoice Closing)","Pending Invoice Closing","GCH-Pharmacy",1,"doc.mode_of_payment == ""Insurance"""
"","","","","","","","","","","","","","","","","","","","""e7d5649dff""","Pending Pharmacy","Proceed to Procedure","Pending Procedure","GCH-Pharmacy",1,""
"","","","","","","","","","","","","","","","","","","","""043033d7b3""","Pending Pharmacy","Proceed to Lab","Pending LAB/Investigation","GCH-Pharmacy",1,"doc.mode_of_payment == ""Insurance"""
"","","","","","","","","","","","","","","","","","","","""be4c76a011""","Pending Pharmacy","Proceed to Radiology","Pending Radiology","GCH-Pharmacy",1,"doc.mode_of_payment == ""Insurance"""
"","","","","","","","","","","","","","","","","","","","""a7ba54f785""","Pending Invoice Closing","Close Encounter","Encounter Closed","GCH-Reception",1,"doc.prescription == None"
"","","","","","","","","","","","","","","","","","","","""5a94dd32af""","Pending Invoice Closing","Proceed to Pharmacy","Paid","GCH-Reception",1,""
"","","","","","","","","","","","","","","","","","","","""86433caeb2""","Pending Invoice Closing","Pull to Reception","Pending Reception","GCH-Reception",1,""
"","","","","","","","","","","","","","","","","","","","""05fe4776fd""","Pending Prescription Payment","Proceed to Pharmacy","Paid","GCH-Reception",1,""
"","","","","","","","","","","","","","","","","","","","""7cb5c25bd8""","Pending Prescription Payment","Pull to Reception","Pending Reception","GCH-Reception",1,""
"","","","","","","","","","","","","","","","","","","","""0a0e069de8""","Pending Reception","Close Encounter","Encounter Closed","GCH-Reception",1,"doc.clinic != 'Wellbaby - GCH' or doc.mode_of_payment != ""Insurance"""
"","","","","","","","","","","","","","","","","","","","""16ec100040""","Pending Reception","Proceed to Triage","Pending Triage","GCH-Reception",1,""
"","","","","","","","","","","","","","","","","","","","""2c80e24fd2""","Paid","Pull to Reception","Pending Reception","GCH-Reception",1,""
"","","","","","","","","","","","","","","","","","","","""e490336111""","Paid","Close Encounter","Encounter Closed","GCH-Pharmacy",1,""
