"DocType:","Generic Drug Name","","","","","","","","","","","","~","Generic Drug Formula Link","preparation","~","Generic Drug Route","route","~","Generic Drug UOM","drug_uom","","~","Generic Name Formulation","generic_name_formulation","","","","","","","","","","","~","Age Weight Band Details","ageweight_band","","","","","","","","","","","","","","","","","~","GCH Standard Guideline Detail","gch_standard_treatment_guideline_detail","","","","","","","~","GCH Standard Guideline Detail","diagnosis","","","","","",""
"Column Labels:","ID","Code","Generic Name","Main Category","Classification","Sub Classification","Is Triage Medication","Is Controlled Drug","Is High Alert","Emergency Medication","Kranium Code","Kranium Name","","ID","Generic Drug Formula","","ID","Drug Route","","ID","Preparation","UOM","","ID","Route","Preparation","Min Dose","Max Dose","UOM","Absolute Max","Frequency","Period Type","Min Duration","Max Duration","Label","","ID","Route","Preparation","A. Operation","Age","Type","W/A. Operation","W. Operation","Min Dose","Max Dose","UOM","Weight","Absolute Max","Frequency","Period","Min Duration","Max Duration","Label","","ID","Formula","Generic Drug Name","Medical code","Diagnosis","Code","Generic Drug","Description","","ID","Formula","Generic Drug Name","Medical code","Diagnosis","Code","Generic Drug","Description"
"Column Name:","name","code","generic_name","main_category","classification","sub_classification","is_triage_medication","is_controlled_drug","is_high_alert","emergency_medication","kranium_code","kranium_name","~","name","generic_drug_formula","~","name","drug_route","~","name","preparation","uom","~","name","route","preparation","minimum_dose","maximum_dose","uom","absolute_maximum","frequency","period_type","min_duration","max_duration","label","~","name","route","preparation","a_operation","age","type","wa_operation","w_operation","min_dose","max_dose","uom","weight","absolute_max","frequency","period","min_duration","max_duration","label","~","name","treatment_option","generic_drug_name","medical_code","standard_treatment","code","generic_drug","description","~","name","treatment_option","generic_drug_name","medical_code","standard_treatment","code","generic_drug","description"
"Mandatory:","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","","Yes","Yes","","Yes","Yes","","Yes","No","No","","Yes","No","No","No","No","No","No","No","No","No","No","No","","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","","Yes","Yes","No","No","No","No","No","No","","Yes","Yes","No","No","No","No","No","No"
"Type:","Data","Link","Data","Link","Select","Select","Check","Check","Check","Check","Data","Data","","Data","Link","","Data","Link","","Data","Link","Link","","Data","Link","Link","Float","Float","Link","Float","Int","Select","Int","Int","Data","","Data","Link","Link","Select","Data","Select","Select","Select","Data","Data","Link","Data","Data","Int","Select","Int","Int","Data","","Data","Link","Data","Link","Link","Data","Link","Data","","Data","Link","Data","Link","Link","Data","Link","Data"
"Info:","","Valid Medical Code","","Valid Generic Main Category","","","0 or 1","0 or 1","0 or 1","0 or 1","","","","","Valid Drug Formula","","","Valid Drug Route","","","Valid Drug Formula","Valid UOM","","","Valid Drug Route","Valid Drug Formula","","","Valid UOM","","Integer","One of: Hours, Days, Weeks","Integer","Integer","","","","Valid Drug Route","Valid Drug Formula","One of: Equal to, Less than, Less than or equal to, Greater than, Greater than or equal to","","One of: Days, Weeks, Months, Years","One of: Or, And","One of: Equal to, Less than, Less than or equal to, Greater than, Greater than or equal to","","","Valid UOM","","","Integer","One of: Day, Week, Month, Year","Integer","Integer","","","","Valid Drug Formula","","Valid Medical Code","Valid GCH Standard Treatment Guideline","","Valid Generic Drug Name","","","","Valid Drug Formula","","Valid Medical Code","Valid GCH Standard Treatment Guideline","","Valid Generic Drug Name",""
"Start entering data below this line"
"","""ATC A01AB23 - minocycline""","ATC A01AB23","minocycline","UploadData","UploadData","",0,0,0,0,"GEN0540","Minocycline","","""2b3623a678""","UploadData","","""013d278314""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC N05CD08 - midazolam""","ATC N05CD08","midazolam","UploadData","UploadData","",0,0,0,0,"GEN0538","Midazolam","","""9eea21ec40""","UploadData","","""81e2372649""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC A01AB09 - miconazole""","ATC A01AB09","miconazole","UploadData","UploadData","",0,0,0,0,"GEN0536","Miconazole","","""327645b730""","UploadData","","""9b385bd175""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC A01AB17 - metronidazole""","ATC A01AB17","metronidazole","UploadData","UploadData","",0,0,0,0,"GEN0535","MetroNIDAZOLE","","""b2778e65ea""","UploadData","","""515773c6cc""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC C07AB02 - metoprolol""","ATC C07AB02","metoprolol","UploadData","UploadData","",0,0,0,0,"GEN0534","Metoprolol","","""0c17ecd263""","UploadData","","""66dd3ac6bc""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC A03FA01 - metoclopramide""","ATC A03FA01","metoclopramide","UploadData","UploadData","",0,0,0,0,"GEN0533","Metoclopramide","","""84f5563b75""","UploadData","","""c5c2460c4d""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC D07AA01 - methylprednisolone""","ATC D07AA01","methylprednisolone","UploadData","UploadData","",0,0,0,0,"GEN0532","MethylprednisoLONE","","""269221003e""","UploadData","","""2a30f05fb8""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC N06BA04 - methylphenidate""","ATC N06BA04","methylphenidate","UploadData","UploadData","",0,0,0,0,"GEN0531","Methylphenidate","","""12a56cb4ce""","UploadData","","""922cb1cdeb""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC C02AB - Methyldopa""","ATC C02AB","Methyldopa","UploadData","UploadData","",0,0,0,0,"GEN0529","Methyldopa","","""be8d6667d4""","UploadData","","""d3ed59fcbc""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC D05AD02 - methoxsalen""","ATC D05AD02","methoxsalen","UploadData","UploadData","",0,0,0,0,"GEN0526","Methoxsalen","","""2726793837""","UploadData","","""a7f45ea5dc""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC L01BA01 - methotrexate""","ATC L01BA01","methotrexate","UploadData","UploadData","",0,0,0,0,"GEN0525","METHOTREXATE","","""7f1876632a""","UploadData","","""29eb83b744""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC A10BA02 - metformin""","ATC A10BA02","metformin","UploadData","UploadData","",0,0,0,0,"GEN0524","MetFORMIN","","""9514740a3f""","UploadData","","""0a2f764c35""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC J01DH02 - meropenem""","ATC J01DH02","meropenem","UploadData","UploadData","",0,0,0,0,"GEN0523","Meropenem","","""8d7a783d79""","UploadData","","""83582ab457""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC L01BB02 - mercaptopurine""","ATC L01BB02","mercaptopurine","UploadData","UploadData","",0,0,0,0,"GEN0522","Mercaptopurine","","""860ec4fc30""","UploadData","","""a1909ce563""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC D04AA02 - mepyramine""","ATC D04AA02","mepyramine","UploadData","UploadData","",0,0,0,0,"GEN0521","Mepyramine","","""3de0bf40c7""","UploadData","","""b95d65d1d1""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC M01AC06 - meloxicam""","ATC M01AC06","meloxicam","UploadData","UploadData","",0,0,0,0,"GEN0518","Meloxicam","","""22ce8c7256""","UploadData","","""a9c5e3e951""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC P01BC02 - mefloquine""","ATC P01BC02","mefloquine","UploadData","UploadData","",0,0,0,0,"GEN0517","Mefloquine","","""152d6eea5d""","UploadData","","""45aea22cde""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC M01AG01 - mefenamic acid""","ATC M01AG01","mefenamic acid","UploadData","UploadData","",0,0,0,0,"GEN0516","Mefenamic Acid","","""7f174a9cdc""","UploadData","","""815d4ecc14""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC G03AC06 - medroxyprogesterone""","ATC G03AC06","medroxyprogesterone","UploadData","UploadData","",0,0,0,0,"GEN0515","Medroxyprogesterone","","""3aedc7774d""","UploadData","","""49fa9749cd""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC A03AA04 - mebeverine""","ATC A03AA04","mebeverine","UploadData","UploadData","",0,0,0,0,"GEN0513","Mebeverine","","""014d4930c5""","UploadData","","""2d8493e2de""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC P02CA01 - mebendazole""","ATC P02CA01","mebendazole","UploadData","UploadData","",0,0,0,0,"GEN0512","Mebendazole","","""772580a57b""","UploadData","","""c450cce7f8""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC N06AA21 - maprotiline""","ATC N06AA21","maprotiline","UploadData","UploadData","",0,0,0,0,"GEN0510","Maprotiline","","""c084ee03a7""","UploadData","","""5d4bc59183""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC A06AD16 - mannitol""","ATC A06AD16","mannitol","UploadData","UploadData","",0,0,0,0,"GEN0509","Mannitol","","""55d559584c""","UploadData","","""2413ebc28f""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC A02AA04 - magnesium hydroxide""","ATC A02AA04","magnesium hydroxide","UploadData","UploadData","",0,0,0,0,"GEN0506","Magnesium Hydroxide","","""72b21d624f""","UploadData","","""f8c5b495ca""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC A12CC01 - magnesium chloride""","ATC A12CC01","magnesium chloride","UploadData","UploadData","",0,0,0,0,"GEN0505","Magnesium chloride","","""bf1a4558ab""","UploadData","","""7b855bef5c""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC G03AC02 - lynestrenol""","ATC G03AC02","lynestrenol","UploadData","UploadData","",0,0,0,0,"GEN0504","Lynestrenol","","""8162d59584""","UploadData","","""b42b57852a""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC C09CA01 - losartan""","ATC C09CA01","losartan","UploadData","UploadData","",0,0,0,0,"GEN0498","Losartan","","""4142e82e06""","UploadData","","""3371ba2bb0""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC R06AX13 - loratadine""","ATC R06AX13","loratadine","UploadData","UploadData","",0,0,0,0,"GEN0493","Loratadine","","""ce7bd1e203""","UploadData","","""86c3893d90""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC A07DA03 - loperamide""","ATC A07DA03","loperamide","UploadData","UploadData","",0,0,0,0,"GEN0492","Loperamide","","""a3da697912""","UploadData","","""b5eab2f4d0""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC S01GX05 - lodoxamide""","ATC S01GX05","lodoxamide","UploadData","UploadData","",0,0,0,0,"GEN0491","Lodoxamide","","""8782170e0b""","UploadData","","""9aa54be7dc""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC C09AA03 - lisinopril""","ATC C09AA03","lisinopril","UploadData","UploadData","",0,0,0,0,"GEN0488","Lisinopril","","""e8c3fc93e6""","UploadData","","""d1d517ff29""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC P03AB02 - lindane""","ATC P03AB02","lindane","UploadData","UploadData","",0,0,0,0,"GEN0486","Lindane","","""75429bed16""","UploadData","","""6f685ee11a""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC J01FF02 - lincomycin""","ATC J01FF02","lincomycin","UploadData","UploadData","",0,0,0,0,"GEN0485","Lincomycin","","""474e26a89a""","UploadData","","""c85336fc2d""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC J01MA12 - levofloxacin""","ATC J01MA12","levofloxacin","UploadData","UploadData","",0,0,0,0,"GEN0479","Levofloxacin","","""9ca9d8494e""","UploadData","","""dbb5e98ee9""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC R01AC02 - levocabastine""","ATC R01AC02","levocabastine","UploadData","UploadData","",0,0,0,0,"GEN0477","Levocabastine","","""6a0723582b""","UploadData","","""341e7f047d""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC N03AX14 - levetiracetam""","ATC N03AX14","levetiracetam","UploadData","UploadData","",0,0,0,0,"GEN0476","Levetiracetam","","""c7f248c1da""","UploadData","","""6fa6a5ad19""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC P02CE01 - levamisole""","ATC P02CE01","levamisole","UploadData","UploadData","",0,0,0,0,"GEN0475","Levamisole","","""1d245a4470""","UploadData","","""d9d6431afa""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC L02BG04 - letrozole""","ATC L02BG04","letrozole","UploadData","UploadData","",0,0,0,0,"GEN0473","Letrozole","","""5c9f029474""","UploadData","","""a16f7955f2""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC L04AA13 - leflunomide""","ATC L04AA13","leflunomide","UploadData","UploadData","",0,0,0,0,"GEN0472","Leflunomide","","""4100b32baa""","UploadData","","""2a226405ed""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC A02BC03 - lansoprazole""","ATC A02BC03","lansoprazole","UploadData","UploadData","",0,0,0,0,"GEN0468","Lansoprazole","","""2139191c00""","UploadData","","""0e8053bace""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC N03AX09 - lamotrigine""","ATC N03AX09","lamotrigine","UploadData","UploadData","",0,0,0,0,"GEN0466","LamoTRIgine","","""52ddc4a53a""","UploadData","","""fe81d649db""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC A06AD11 - lactulose""","ATC A06AD11","lactulose","UploadData","UploadData","",0,0,0,0,"GEN0465","Lactulose","","""a48eb5c9b0""","UploadData","","""bb0cdf81cd""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC C07AG01 - labetalol""","ATC C07AG01","labetalol","UploadData","UploadData","",0,0,0,0,"GEN0463","Labetalol","","""4c6784bd31""","UploadData","","""5781c41d85""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC R06AX17 - ketotifen""","ATC R06AX17","ketotifen","UploadData","UploadData","",0,0,0,0,"GEN0462","Ketotifen","","""f9cb025fe7""","UploadData","","""862c733089""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC M01AE03 - ketoprofen""","ATC M01AE03","ketoprofen","UploadData","UploadData","",0,0,0,0,"GEN0460","Ketoprofen","","""bff780507d""","UploadData","","""28e236ae77""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC D01AC08 - ketoconazole""","ATC D01AC08","ketoconazole","UploadData","UploadData","",0,0,0,0,"GEN0458","Ketoconazole","","""f65a9bbc59""","UploadData","","""dcb0162a8e""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC N01AX03 - ketamine""","ATC N01AX03","ketamine","UploadData","UploadData","",0,0,0,0,"GEN0457","Ketamine","","""717b2955d2""","UploadData","","""4484c8cdb5""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC A07AA08 - kanamycin""","ATC A07AA08","kanamycin","UploadData","UploadData","",0,0,0,0,"GEN0456","Kanamycin","","""86f73b2144""","UploadData","","""ef670e5d69""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC D11AX22 - ivermectin""","ATC D11AX22","ivermectin","UploadData","UploadData","",0,0,0,0,"GEN0455","Ivermectin","","""f7077c0f77""","UploadData","","""2a4ebc5e12""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC J02AC02 - itraconazole""","ATC J02AC02","itraconazole","UploadData","UploadData","",0,0,0,0,"GEN0454","Itraconazole","","""e79197cbd6""","UploadData","","""bc6ededfc7""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC C01DA08 - isosorbide dinitrate""","ATC C01DA08","isosorbide dinitrate","UploadData","UploadData","",0,0,0,0,"GEN0452","Isosorbide Dinitrate","","""caad74d0e9""","UploadData","","""5a30f71987""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC C01CA02 - isoprenaline""","ATC C01CA02","isoprenaline","UploadData","UploadData","",0,0,0,0,"GEN0450","Isoprenaline","","""6491ef2d7d""","UploadData","","""e66e1ba9e2""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC J04AC01 - isoniazid""","ATC J04AC01","isoniazid","UploadData","UploadData","",0,0,0,0,"GEN0449","Isoniazid","","""e6f1bdf24a""","UploadData","","""5c47f6121d""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC N01AB06 - isoflurane""","ATC N01AB06","isoflurane","UploadData","UploadData","",0,0,0,0,"GEN0448","Isoflurane","","""f721fb9a8d""","UploadData","","""1fbc3c239e""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC D01AC05 - isoconazole""","ATC D01AC05","isoconazole","UploadData","UploadData","",0,0,0,0,"GEN0446","Isoconazole","","""1c9134c01e""","UploadData","","""904e463700""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC C09CA04 - irbesartan""","ATC C09CA04","irbesartan","UploadData","UploadData","",0,0,0,0,"GEN0441","Irbesartan","","""cf6b31da62""","UploadData","","""b6cf039af7""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC R05CA04 - ipecacuanha""","ATC R05CA04","ipecacuanha","UploadData","UploadData","",0,0,0,0,"GEN0438","Ipecacuanha","","""4a0ab6c647""","UploadData","","""0085aa92b0""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC D08AG03 - iodine""","ATC D08AG03","iodine","UploadData","UploadData","",0,0,0,0,"GEN0435","Iodine","","""28fe75e6ff""","UploadData","","""0329b99ff4""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC C03BA11 - indapamide""","ATC C03BA11","indapamide","UploadData","UploadData","",0,0,0,0,"GEN0426","Indapamide","","""d4e6dddf0c""","UploadData","","""7d9c16db30""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC D06BB10 - imiquimod""","ATC D06BB10","imiquimod","UploadData","UploadData","",0,0,0,0,"GEN0424","Imiquimod","","""82ec91d8c0""","UploadData","","""3e506432ec""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC N06AA02 - imipramine""","ATC N06AA02","imipramine","UploadData","UploadData","",0,0,0,0,"GEN0423","Imipramine","","""e07fa0f841""","UploadData","","""7567e2449b""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC C01EB16 - ibuprofen""","ATC C01EB16","ibuprofen","UploadData","UploadData","",0,0,0,0,"GEN0418","Ibuprofen","","""f3c488825d""","UploadData","","""f7c8a94218""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC N05BB01 - hydroxyzine""","ATC N05BB01","hydroxyzine","UploadData","UploadData","",0,0,0,0,"GEN0415","HYDROxyzine","","""5f256eaac6""","UploadData","","""f51b7c2e23""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC P01BA02 - hydroxychloroquine""","ATC P01BA02","hydroxychloroquine","UploadData","UploadData","",0,0,0,0,"GEN0412","Hydroxychloroquine","","""bfd92b91f7""","UploadData","","""884a6c8963""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC A01AB02 - hydrogen peroxide""","ATC A01AB02","hydrogen peroxide","UploadData","UploadData","",0,0,0,0,"GEN0409","Hydrogen Peroxide","","""0a9a8221d8""","UploadData","","""d574199e89""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC A01AC03 - hydrocortisone""","ATC A01AC03","hydrocortisone","UploadData","UploadData","",0,0,0,0,"GEN0401","Hydrocortisone","","""6a9758f269""","UploadData","","""d096cc6f44""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC B06AA03 - hyaluronidase""","ATC B06AA03","hyaluronidase","UploadData","UploadData","",0,0,0,0,"GEN0398","Hyaluronidase","","""822c91c40d""","UploadData","","""b88146f777""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC B01AB01 - heparin""","ATC B01AB01","heparin","UploadData","UploadData","",0,0,0,0,"GEN0392","Heparin","","""f4248b66e6""","UploadData","","""f8586028b3""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC N01AB01 - halothane""","ATC N01AB01","halothane","UploadData","UploadData","",0,0,0,0,"GEN0391","Halothane","","""68efdb1f72""","UploadData","","""b005736f99""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC N05AD01 - haloperidol""","ATC N05AD01","haloperidol","UploadData","UploadData","",0,0,0,0,"GEN0390","Haloperidol","","""dd9f038570""","UploadData","","""8e98d898b4""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC P01BX01 - halofantrine""","ATC P01BX01","halofantrine","UploadData","UploadData","",0,0,0,0,"GEN0389","Halofantrine","","""41fd809450""","UploadData","","""d0ef891939""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC D01AA08 - griseofulvin""","ATC D01AA08","griseofulvin","UploadData","UploadData","",0,0,0,0,"GEN0388","Griseofulvin","","""673efd6f06""","UploadData","","""26c7702b71""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC A04AA02 - granisetron""","ATC A04AA02","granisetron","UploadData","UploadData","",0,0,0,0,"GEN0387","Granisetron","","""27aec6d8c4""","UploadData","","""931e8d93eb""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC H01CA01 - gonadorelin""","ATC H01CA01","gonadorelin","UploadData","UploadData","",0,0,0,0,"GEN0385","Gonadorelin","","""6bce7a761c""","UploadData","","""0dabac3705""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC B05CX01 - glucose""","ATC B05CX01","glucose","UploadData","UploadData","",0,0,0,0,"GEN0380","Glucose","","""5f2c709577""","UploadData","","""7931b51636""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC A10BB12 - glimepiride""","ATC A10BB12","glimepiride","UploadData","UploadData","",0,0,0,0,"GEN0377","Glimepiride","","""bda78d3f98""","UploadData","","""8bad65f4c4""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC A10BB09 - gliclazide""","ATC A10BB09","gliclazide","UploadData","UploadData","",0,0,0,0,"GEN0376","Gliclazide","","""c3482d890c""","UploadData","","""7a8dff1ab6""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC A10BB01 - glibenclamide""","ATC A10BB01","glibenclamide","UploadData","UploadData","",0,0,0,0,"GEN0374","Glibenclamide","","""8e2cde1c5e""","UploadData","","""be1cebca61""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""ATC D06AX07 - gentamicin""","ATC D06AX07","gentamicin","UploadData","UploadData","",0,0,0,0,"GEN0371","Gentamicin","","""3ac7df3996""","UploadData","","""c634d3332b""","UploadData","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
